x0,y0,name,elevation,inv_ele,max_depth,open,InitDepth,SurDepth,Aponded,routing
12710091.7742,2549884.6926,SMH4028528,25.05,19.95,5.1,1,0,0,1,1
12710079.2519,2549866.1647,SMH4028530,22.44,17.23,5.21,1,0,0,1,1
12710074.1734,2549852.6354,SMH4028531,20.89,16.0,4.89,1,0,0,1,1
12710096.5933,2549806.1467,SMH4028535,15.84,11.7,4.14,1,0,0,1,1
12710102.1038,2549793.8784,SMH4028536,14.94,10.74,4.2,1,0,0,1,1
12710609.6076,2550211.0836,SMH4028637,26.45,22.85,3.6,1,0,0,1,1
12710579.1585,2550195.8911,SMH4028638,25.47,20.87,4.6,1,0,0,1,1
12710340.933,2549722.5248,SMH4028579,20.08,16.48,3.6,1,0,0,1,1
12710322.7128,2549737.0407,SMH4028580,19.57,15.92,3.65,1,0,0,1,1
12710326.7616,2549745.6064,SMH4028581,20.03,16.43,3.6,1,0,0,1,1
12710369.3844,2549919.0711,SMH4028584,23.31,19.71,3.6,1,0,0,1,1
12710370.4933,2549882.379,SMH4028585,20.99,17.39,3.6,1,0,0,1,1
12710367.2079,2549843.2983,SMH4028586,20.23,16.63,3.6,1,0,0,1,1
12710136.0998,2550205.9222,SMH4028377,28.117,24.517,3.6,1,0,0,1,1
12710145.4434,2550191.2796,SMH4028378,21.2,17.6,3.6,1,0,0,1,1
12710146.8897,2550189.2282,SMH4028379,21.06,17.46,3.6,1,0,0,1,1
12710168.1503,2550171.397,SMH4028381,17.48,13.88,3.6,1,0,0,1,1
12710173.3105,2550164.9649,SMH4028382,17.29,13.69,3.6,1,0,0,1,1
12710180.0946,2550160.4904,SMH4028383,16.45,12.85,3.6,1,0,0,1,1
12710138.4903,2550132.2641,SMH4028385,15.36,11.76,3.6,1,0,0,1,1
12710129.3475,2550123.8364,SMH4028386,15.01,11.41,3.6,1,0,0,1,1
12710137.2053,2550118.2317,SMH4028387,13.81,9.56,4.25,1,0,0,1,1
12710260.4561,2550150.0869,SMH4028605,17.23,13.63,3.6,1,0,0,1,1
12709914.2515,2549883.2212,SMH4028506,14.65,11.05,3.6,1,0,0,1,1
12709922.2447,2549875.5317,SMH4028507,14.14,10.54,3.6,1,0,0,1,1
12709943.6007,2549822.3583,SMH4028508,11.01,7.34,3.67,1,0,0,1,1
12710049.5788,2549943.4143,SMH4028509,11.77,7.32,4.45,1,0,0,1,1
12710278.4753,2550123.6203,SMH4028607,17.7,14.1,3.6,1,0,0,1,1
12710293.1983,2550082.4201,SMH4028608,17.77,14.17,3.6,1,0,0,1,1
12710297.8082,2550085.8016,SMH4028609,17.47,13.71,3.76,1,0,0,1,1
12710304.7551,2550064.9973,SMH4028610,18.53,14.93,3.6,1,0,0,1,1
12710310.299,2550067.1963,SMH4028611,18.23,13.94,4.29,1,0,0,1,1
12710309.5112,2550059.4113,SMH4028612,17.72,14.12,3.6,1,0,0,1,1
12710313.5542,2550062.1871,SMH4028613,18.58,13.82,4.76,1,0,0,1,1
12709825.7651,2549656.5938,SMH4028459,8.47,4.8,3.67,1,0,0,1,1
12710314.7887,2549701.4155,SMH4028573,20.46,16.86,3.6,1,0,0,1,1
12710317.3815,2549753.66,SMH4028588,18.7,15.1,3.6,1,0,0,1,1
12710347.4853,2549765.3852,SMH4028589,19.51,15.91,3.6,1,0,0,1,1
12710336.0418,2549760.9733,SMH4028590,19.203,15.603,3.6,1,0,0,1,1
12710348.647,2549821.6846,SMH4028592,20.74,17.13,3.61,1,0,0,1,1
12710364.9656,2549817.5423,SMH4028593,20.14,16.51,3.63,1,0,0,1,1
12710362.6344,2549880.7239,SMH4028596,21.23,17.54,3.69,1,0,0,1,1
12710353.2929,2549968.8566,SMH4028598,19.88,16.27,3.61,1,0,0,1,1
12710339.5634,2550009.0288,SMH4028599,19.05,15.44,3.61,1,0,0,1,1
12710317.6788,2550054.3988,SMH4028600,18.61,14.25,4.36,1,0,0,1,1
12710273.5865,2550120.0935,SMH4028602,17.66,13.09,4.57,1,0,0,1,1
12710257.6724,2550141.8855,SMH4028603,16.21,12.6,3.61,1,0,0,1,1
12710266.4656,2550141.3926,SMH4028604,17.35,13.75,3.6,1,0,0,1,1
12710343.6366,2550240.7822,SMH4029217,18.34,14.74,3.6,1,0,0,1,1
12710336.3968,2550227.2958,SMH4029218,18.04,14.44,3.6,1,0,0,1,1
12710026.0836,2549780.1437,SMH4029502,12.42,8.82,3.6,1,0,0,1,1
12710030.8953,2549779.9653,SMH4029503,12.72,9.12,3.6,1,0,0,1,1
12710139.8913,2550135.27,SMH4029517,15.64,12.04,3.6,1,0,0,1,1
12710304.8985,2549683.739,SMH4028574,20.16,16.56,3.6,1,0,0,1,1
12710379.6761,2549665.2966,SMH4028577,23.86,20.26,3.6,1,0,0,1,1
12710358.7342,2549689.1021,SMH4028578,21.63,18.03,3.6,1,0,0,1,1
12710364.4018,2549671.3736,SMH4028583,23.56,18.57,4.99,1,0,0,1,1
12710597.9625,2550259.4913,SMH4028632,25.26,21.66,3.6,1,0,0,1,1
12710525.3517,2550223.2946,SMH4028634,20.63,17.03,3.6,1,0,0,1,1
12710512.3164,2550223.7552,SMH4028635,20.14,16.54,3.6,1,0,0,1,1
12710487.9236,2550273.7218,SMH4028636,18.76,15.16,3.6,1,0,0,1,1
12710354.1437,2549246.3274,SMH4029071,45.34,41.74,3.6,1,0,0,1,1
